Tiempo (s),Voltaje Pico-Pico (V),Ajuste (V),Residuales (V)
15.2399998000,16.8000011000,16.6941211728,0.1058799272
15.2599993000,16.6000004000,16.6777537087,-0.0777533087
15.2799997000,16.8000011000,16.6597002533,0.1403008467
15.2999992000,16.3999996000,16.6402013134,-0.2402017134
15.3199997000,16.6000004000,16.6195066809,-0.0195062809
15.3399992000,16.6000004000,16.5978796725,0.0021207275
15.3599997000,16.6000004000,16.5755857951,0.0244146049
15.3800001000,16.6000004000,16.5528970833,0.0471033167
15.3999996000,16.6000004000,16.5300852819,0.0699151181
15.4200001000,16.3999996000,16.5074158661,-0.1074162661
15.4399996000,16.6000004000,16.4851524894,0.1148479106
15.4600000000,16.6000004000,16.4635452598,0.1364551402
15.4799995000,16.3999996000,16.4428363790,-0.0428367790
15.5000000000,16.2000008000,16.4232496128,-0.2232488128
15.5199995000,16.3999996000,16.4049957068,-0.0049961068
15.5400000000,16.3999996000,16.3882625690,0.0117370310
15.5599995000,16.6000004000,16.3732206449,0.2267797551
15.5799999000,16.3999996000,16.3600147177,0.0399848823
